services.oracle.accept_version	unsigned_long	
services.oracle.connect_flags0.interchange_involved	boolean	
services.oracle.connect_flags0.services_enabled	boolean	
services.oracle.connect_flags0.services_linked_in	boolean	
services.oracle.connect_flags0.services_required	boolean	
services.oracle.connect_flags0.services_wanted	boolean	
services.oracle.connect_flags0.unknown_20	boolean	
services.oracle.connect_flags0.unknown_40	boolean	
services.oracle.connect_flags0.unknown_80	boolean	
services.oracle.connect_flags1.interchange_involved	boolean	
services.oracle.connect_flags1.services_enabled	boolean	
services.oracle.connect_flags1.services_linked_in	boolean	
services.oracle.connect_flags1.services_required	boolean	
services.oracle.connect_flags1.services_wanted	boolean	
services.oracle.connect_flags1.unknown_20	boolean	
services.oracle.connect_flags1.unknown_40	boolean	
services.oracle.connect_flags1.unknown_80	boolean	
services.oracle.did_resend	boolean	
services.oracle.global_service_options.attention_processing	boolean	
services.oracle.global_service_options.broken_connect_notify	boolean	
services.oracle.global_service_options.can_receive_attention	boolean	
services.oracle.global_service_options.can_send_attention	boolean	
services.oracle.global_service_options.direct_io	boolean	
services.oracle.global_service_options.full_duplex	boolean	
services.oracle.global_service_options.half_duplex	boolean	
services.oracle.global_service_options.header_checksum	boolean	
services.oracle.global_service_options.packet_checksum	boolean	
services.oracle.global_service_options.unknown_0001	boolean	
services.oracle.global_service_options.unknown_0020	boolean	
services.oracle.global_service_options.unknown_0040	boolean	
services.oracle.global_service_options.unknown_0080	boolean	
services.oracle.global_service_options.unknown_0100	boolean	
services.oracle.nsn_service_versions.authentication	text	
services.oracle.nsn_service_versions.data_integrity	text	
services.oracle.nsn_service_versions.encryption	text	
services.oracle.nsn_service_versions.supervisor	text	
services.oracle.nsn_version	text	
services.oracle.redirect_target.key	text	
services.oracle.redirect_target.value	text	
services.oracle.redirect_target_raw	text	
services.oracle.refuse_error.key	text	
services.oracle.refuse_error.value	text	
services.oracle.refuse_error_raw	text	
services.oracle.refuse_reason_app	text	
services.oracle.refuse_reason_sys	text	
services.oracle.refuse_version	text
