services.rdp.certificate_info.internal_x509_chain_fps	keyword	
services.rdp.certificate_info.proprietary_rsa_key.key_length	unsigned_long	
services.rdp.certificate_info.proprietary_rsa_key.magic	unsigned_long	
services.rdp.certificate_info.proprietary_rsa_key.max_bytes_datalen	unsigned_long	
services.rdp.certificate_info.proprietary_rsa_key.modulus	text	
services.rdp.certificate_info.proprietary_rsa_key.modulus_bitlen	unsigned_long	
services.rdp.certificate_info.proprietary_rsa_key.public_exponent	unsigned_long	
services.rdp.certificate_info.proprietary_rsa_key.signature	text	
services.rdp.connect_response.connect_id	unsigned_long	
services.rdp.connect_response.domain_parameters.domain_protocol_version	long	
services.rdp.connect_response.domain_parameters.max_channel_ids	long	
services.rdp.connect_response.domain_parameters.max_mcspdu_size	long	
services.rdp.connect_response.domain_parameters.max_provider_height	long	
services.rdp.connect_response.domain_parameters.max_token_ids	long	
services.rdp.connect_response.domain_parameters.max_user_id_channels	long	
services.rdp.connect_response.domain_parameters.min_throughput	long	
services.rdp.connect_response.domain_parameters.num_priorities	long	
services.rdp.protocol_flags.dynvc_graphics_pipeline	boolean	
services.rdp.protocol_flags.extended_client_data_supported	boolean	
services.rdp.protocol_flags.neg_resp_reserved	boolean	
services.rdp.protocol_flags.restricted_admin_mode	boolean	
services.rdp.protocol_flags.restricted_auth_mode	boolean	
services.rdp.selected_security_protocol.credssp	boolean	
services.rdp.selected_security_protocol.credssp_early_auth	boolean	
services.rdp.selected_security_protocol.error	boolean	
services.rdp.selected_security_protocol.error_bad_flags	boolean	
services.rdp.selected_security_protocol.error_hybrid_required	boolean	
services.rdp.selected_security_protocol.error_ssl_cert_missing	boolean	
services.rdp.selected_security_protocol.error_ssl_forbidden	boolean	
services.rdp.selected_security_protocol.error_ssl_required	boolean	
services.rdp.selected_security_protocol.error_ssl_user_auth_required	boolean	
services.rdp.selected_security_protocol.error_unknown	boolean	
services.rdp.selected_security_protocol.raw_value	unsigned_long	
services.rdp.selected_security_protocol.rdstls	boolean	
services.rdp.selected_security_protocol.standard_rdp	boolean	
services.rdp.selected_security_protocol.tls	boolean	
services.rdp.version.major	integer	
services.rdp.version.minor	integer	
services.rdp.version.raw	unsigned_long	Raw Version Response, Major version is stored in upper 2 bytes, minor in lower 2 bytes.
services.rdp.x224_cc_pdu_srcref	unsigned_long	
